source,target,weight
2968,PressupostosParticipatius,2
2969,pam,1
2975,PressupostosParticipatius,1
2994,pam,1
2996,PressupostosParticipatius,2
2996,pam,4
2997,pam,1
3007,pam,1
3017,pam,2
3019,pam,1
3020,PressupostosParticipatius,1
3021,pam,2
3026,PressupostosParticipatius,1
3026,meridiana,2
3026,mobilitatcv,1
3026,pam,37
3026,pgmaritimmarbella,1
3029,pam,4
3035,pam,1
3037,pam,9
3042,Premi8M-2022,2
3048,PlaNaturaBCN,4
3048,PressupostosParticipatius,1
3057,pam,1
3058,pam,1
3065,pam,1
3067,xarxabus,1
3070,PAM2020,2
3070,pam,20
3096,PAM2020,3
3096,pam,2
3098,pam,5
3112,pam,12
3123,pam,1
3138,pam,1
3143,pam,5
3146,pam,1
3157,pam,2
3160,pam,2
3162,pam,2
3163,pam,3
3167,pam,1
3174,pam,1
3175,pam,1
3177,PAM2020,4
3177,PressupostosParticipatius,5
3177,pam,6
3178,pam,6
3184,pam,1
3210,pam,1
3216,pam,1
3239,pam,10
3241,PAM2020,1
3264,pam,2
3266,pam,1
3289,pam,2
3302,pam,9
3320,pam,1
3322,pam,3
3339,pam,2
3340,pam,3
3346,PressupostosParticipatius,8
3354,pam,3
3380,pam,1
3381,PAM2020,1
3381,pam,8
3395,pam,1
3419,pam,3
3423,pam,1
3436,pam,1
3437,pam,4
3447,pam,1
3449,pam,2
3464,pam,1
3469,pam,1
3471,pam,1
3499,RoquetesiVerdun,1
3499,pam,3
3507,pam,1
3513,pam,8
3517,PressupostosParticipatius,1
3526,pam,1
3532,PressupostosParticipatius,1
3542,PressupostosParticipatius,1
3551,pam,2
3551,xarxabus,25
3554,pam,16
3560,PressupostosParticipatius,2
3563,pam,2
3575,pam,1
3580,pam,13
3588,pam,9
3592,pam,1
3605,pam,1
3620,pam,1
3656,pam,1
3661,pam,6
3662,pam,1
3677,pam,2
3713,pam,1
3716,pam,1
3725,pam,21
3727,pam,1
3729,pam,1
3740,pam,1
3751,pam,1
3753,PressupostosParticipatius,1
3756,PAM2020,1
3760,pam,1
3770,pam,3
3777,plaequipamentspoblesec,1
3778,meridiana,1
3778,pam,3
3780,PressupostosParticipatius,1
3781,PressupostosParticipatius,1
3782,pam,1
3784,pam,1
3790,PAM2020,1
3791,pam,4
3797,Poblesec,1
3797,pam,2
3797,plaequipamentspoblesec,2
3804,pam,2
3812,pam,7
3815,pam,1
3823,pam,1
3825,pam,1
3827,pam,41
3829,pam,1
3833,pam,1
3841,pam,1
3850,pam,1
3854,pam,1
3857,pam,2
3870,PressupostosParticipatius,2
3873,pam,2
3879,pam,2
3888,PressupostosParticipatius,6
3888,pam,2
3890,pam,1
3892,pam,1
3900,pam,1
3905,PressupostosParticipatius,3
3910,pam,4
3920,pam,1
3923,pam,2
3938,pam,1
3939,pam,1
3946,pam,2
3970,PressupostosParticipatius,1
3970,pam,1
3970,prova-pilot-pressupostos-participatius,2
3974,PAM2020,1
3983,pam,1
3990,pam,1
3992,ServeiClavegueramBCN,2
3992,pam,1
3996,pam,1
3998,pam,3
4007,pam,1
4016,pam,1
4025,pam,1
4030,pam,1
4031,pam,1
4036,pam,2
4041,pam,8
4048,pam,1
4053,PressupostosParticipatius,1
4057,pam,2
4058,pam,3
4068,PressupostosParticipatius,1
4068,pam,2
4075,pam,1
4089,pam,2
4092,pam,1
4095,pam,1
4097,pam,1
4102,pam,2
4110,pam,2
4111,pam,1
4121,pam,1
4123,pam,3
4124,pam,1
4127,pam,1
4131,pam,2
4133,pam,1
4138,pam,1
4151,pam,1
4157,pam,1
4172,pam,1
4189,pam,1
4209,pam,1
4216,pam,1
4216,pgmaritimmarbella,1
4217,PAM2020,1
4224,PressupostosParticipatius,1
4224,pam,1
4231,PAM2020,4
4231,PressupostosParticipatius,6
4232,pam,1
4238,pam,1
4243,PressupostosParticipatius,1
4244,PressupostosParticipatius,1
4246,pam,3
4247,PressupostosParticipatius,1
4251,PAM2020,1
4255,pam,1
4259,pam,1
4261,pam,1
4265,pam,1
4268,PressupostosParticipatius,1
4268,pam,1
4275,PAM2020,3
4284,pam,4
4285,PressupostosParticipatius,2
4288,pam,2
4290,PressupostosParticipatius,1
4290,pam,9
4311,PressupostosParticipatius,1
4328,PressupostosParticipatius,1
4329,pam,1
4331,PAM2020,1
4331,PressupostosParticipatius,3
4331,xarxabus,2
4353,pam,1
4359,PressupostosParticipatius,2
4368,PAM2020,5
4368,PressupostosParticipatius,2
4370,PressupostosParticipatius,1
4370,pam,1
4373,PAM2020,1
4373,PressupostosParticipatius,1
4374,pam,2
4394,pam,1
4398,pam,1
4404,pam,1
4409,pam,1
4413,pam,2
4420,PAM2020,1
4422,pam,4
4427,PressupostosParticipatius,1
4429,pam,1
4440,pam,1
4446,pam,1
4448,pam,1
4449,pam,1
4453,pam,2
4462,pam,1
4464,pam,9
4466,pam,1
4469,pam,5
4471,PlaNaturaBCN,24
4471,PressupostosParticipatius,3
4471,pam,1
4474,pam,1
4479,pam,1
4480,PAM2020,1
4497,pam,1
4505,pam,1
4506,pam,3
4507,pam,2
4509,pam,1
4510,pam,4
4516,pam,1
4517,pam,1
4521,pam,1
4549,PressupostosParticipatius,1
4554,pam,3
4557,pam,6
4561,pam,3
4581,pam,1
4582,pam,2
4584,PressupostosParticipatius,3
4591,pam,3
4620,pam,4
4632,PressupostosParticipatius,1
4635,PressupostosParticipatius,1
4644,pam,1
4645,pam,1
4652,pam,5
4657,pam,1
4659,PressupostosParticipatius,3
4659,pam,2
4666,pam,1
4677,pam,2
4698,pam,1
4701,pam,1
4705,pam,1
4717,pam,1
4734,pam,1
4738,PAM2020,1
4741,pam,2
4743,pam,1
4744,pam,81
4746,pam,3
4750,pam,17
4756,pam,1
4763,pam,10
4765,pam,1
4771,pam,2
4776,pam,1
4779,pam,1
4796,PAM2020,1
4797,pam,1
4804,pam,3
4827,pam,1
4828,pam,1
4840,pam,1
4842,PressupostosParticipatius,3
4846,pam,1
4848,pam,1
4856,pam,1
4859,pam,1
4859,plaequipamentssantscentre,1
4860,pam,7
4862,pam,6
4866,TrinitatVella,21
4868,pam,2
4871,PressupostosParticipatius,2
4871,pam,11
4873,PressupostosParticipatius,1
4873,pam,18
4878,pam,1
4884,pam,1
4885,pam,1
4887,pam,1
4902,pam,1
4910,xarxabus,3
4911,PAM2020,9
4911,pam,3
4914,pam,1
4915,pam,1
4917,pam,1
4924,pam,1
4925,pam,1
4931,pam,1
4933,PressupostosParticipatius,1
4934,pam,1
4936,pam,9
4943,pam,5
4963,pam,1
4966,pam,1
4968,pam,1
4971,pam,24
5046,pam,41
5048,PressupostosParticipatius,1
5052,pam,1
5055,pam,4
5058,pam,2
5059,PressupostosParticipatius,1
5062,PressupostosParticipatius,1
5065,pam,1
5066,PressupostosParticipatius,1
5066,pam,2
5072,pam,5
5075,pam,2
5078,pam,1
5080,pam,11
5083,pam,1
5084,PAM2020,1
5086,pam,3
5092,pam,1
5095,PAM2020,1
5095,PressupostosParticipatius,1
5115,pam,1
5116,PressupostosParticipatius,2
5116,pam,5
5116,pgmaritimmarbella,2
5120,PressupostosParticipatius,1
5129,pam,5
