id,Label,modularity_class_str,modularity_class,frecuency
4797,,B,12,1
2761,,B,12,3
4859,,A,14,3
4868,,B,12,2
4878,,B,12,1
98,,B,12,2
6187,,B,12,6
4885,,B,12,1
4746,,B,12,3
4884,,B,12,1
4902,,B,12,1
4914,,B,12,1
4915,,B,12,1
4917,,B,12,1
4924,,B,12,1
4925,,B,12,1
4705,,B,12,1
1454,,A,14,38
9741,,B,12,1
4698,,B,12,1
4931,,B,12,1
4963,,B,12,1
4966,,B,12,1
4968,,B,12,1
4887,,B,12,1
5052,,B,12,1
5055,,B,12,4
395,,B,12,3
4765,,B,12,1
5075,,B,12,2
11703,,B,12,3
5078,,B,12,1
5072,,B,12,5
5092,,B,12,1
5086,,B,12,3
4510,,B,12,4
8701,,B,12,17
5115,,B,12,1
5129,,B,12,5
5136,,A,14,2
4666,,B,12,1
3070,,B,12,24
5133,,B,12,1
5420,,B,12,2
6430,,B,12,1
15351,,B,12,3
5083,,B,12,1
5172,,B,12,3
4934,,B,12,1
5187,,B,12,1
2350,,B,12,3
9298,,B,12,24
4743,,B,12,1
5221,,B,12,2
5137,,B,12,1
5235,,B,12,2
10009,,B,12,26
2654,,B,12,2
3892,,B,12,1
5259,,B,12,2
10566,,B,12,3
5357,,B,12,15
5270,,B,12,1
5254,,B,12,6
5288,,B,12,5
1889,,B,12,1
5296,,B,12,1
4290,,B,12,10
2849,,B,12,1
5318,,B,12,1
5322,,B,12,1
5347,,B,12,1
5348,,B,12,1
5352,,B,12,1
5354,,B,12,1
5196,,B,12,8
2692,,B,12,1
5382,,B,12,1
5359,,B,12,2
4446,,B,12,1
5329,,B,12,3
21205,,B,12,3
5414,,B,12,2
4031,,B,12,1
1356,,B,12,2
4763,,B,12,14
579,,B,12,21
5436,,B,12,1
14271,,B,12,18
13835,,B,12,11
5446,,B,12,2
5466,,B,12,1
2136,,B,12,1
5483,,B,12,56
5488,,B,12,1
5489,,B,12,1
5480,,B,12,4
5519,,B,12,8
5532,,B,12,1
5546,,B,12,14
5530,,B,12,1
5584,,B,12,2
5786,,B,12,2
5595,,B,12,2
5613,,B,12,2
5623,,B,12,3
4466,,B,12,1
5672,,B,12,1
5674,,B,12,1
5713,,B,12,1
5727,,B,12,1
5733,,B,12,1
5757,,B,12,1
5718,,B,12,3
5760,,B,12,1
5703,,B,12,1
318,,B,12,2
5808,,B,12,1
5813,,B,12,1
3804,,B,12,2
5847,,B,12,1
5690,,B,12,1
5881,,B,12,2
5537,,B,12,3
5879,,B,12,1
5877,,B,12,1
5518,,B,12,1
328,,B,12,1
3065,,B,12,1
5888,,B,12,1
5906,,B,12,1
1571,,B,12,57
5919,,B,12,1
18738,,B,12,2
5924,,B,12,1
5907,,B,12,1
5948,,B,12,1
5995,,B,12,1
6010,,B,12,1
3888,,A,14,13
2480,,B,12,7
6074,,B,12,6
3499,,B,12,8
6118,,B,12,1
3580,,B,12,13
6140,,B,12,3
4677,,B,12,2
15520,,B,12,1
13269,,B,12,1
6148,,B,12,1
2026,,B,12,1
3096,,A,14,5
6174,,B,12,1
6217,,B,12,1
6165,,B,12,1
6207,,B,12,1
5667,,B,12,4
7073,,B,12,5
6316,,B,12,1
6317,,B,12,1
6339,,B,12,2
6340,,B,12,4
6350,,A,14,2
6372,,B,12,13
6599,,B,12,3
5860,,A,14,4
3727,,B,12,1
6437,,B,12,1
6453,,B,12,1
6370,,B,12,1
6458,,B,12,1
2444,,B,12,1
6469,,B,12,3
6468,,B,12,1
6482,,B,12,1
6476,,B,12,1
5827,,B,12,1
6505,,B,12,1
15404,,B,12,5
6534,,B,12,1
6547,,B,12,1
3990,,B,12,1
5046,,B,12,42
6560,,B,12,1
6254,,B,12,3
6577,,B,12,1
6582,,B,12,1
6592,,B,12,3
6584,,B,12,4
1015,,B,12,1
6618,,B,12,1
6651,,B,12,1
6683,,B,12,2
6697,,B,12,1
6695,,B,12,4
6701,,B,12,1
7993,,B,12,3
6538,,B,12,2
6739,,B,12,94
6750,,B,12,2
4744,,B,12,81
3760,,B,12,1
6504,,B,12,1
6776,,B,12,2
5307,,B,12,19
6796,,B,12,2
6818,,B,12,1
6821,,B,12,2
6830,,B,12,1
6825,,B,12,2
6832,,B,12,1
6401,,B,12,1
6845,,B,12,1
6873,,B,12,1
6898,,B,12,3
6913,,B,12,1
6915,,B,12,6
6918,,B,12,1
6919,,B,12,1
6921,,B,12,1
6949,,B,12,7
11058,,B,12,3
24696,,B,12,8
6956,,B,12,1
6213,,B,12,8
4862,,B,12,6
6885,,B,12,5
6968,,B,12,2
1494,,A,14,5
4943,,B,12,5
6955,,B,12,1
7017,,B,12,1
7042,,B,12,1
7064,,B,12,2
7075,,B,12,1
7044,,B,12,1
7092,,B,12,1
7115,,B,12,1
7123,,B,12,1
7121,,B,12,1
7144,,B,12,1
6658,,B,12,35
6211,,B,12,4
7164,,B,12,5
10282,,B,12,22
7171,,B,12,1
7099,,B,12,1
7180,,B,12,2
6920,,B,12,18
7187,,B,12,8
7190,,B,12,12
7196,,B,12,1
7211,,B,12,2
7213,,B,12,1
7217,,B,12,2
7219,,B,12,1
12596,,B,12,2
7229,,B,12,77
9828,,B,12,3
9500,,B,12,3
9496,,B,12,1
7447,,B,12,4
12484,,B,12,3
7268,,B,12,9
7274,,B,12,2
7264,,B,12,2
7277,,B,12,1
10414,,B,12,3
7230,,B,12,1
7293,,B,12,1
7299,,B,12,1
7253,,B,12,1
405,,B,12,5
206,,B,12,1
7323,,B,12,1
7329,,B,12,6
7331,,B,12,1
7333,,B,12,2
7334,,B,12,1
1192,,B,12,1
7337,,B,12,1
742,,A,14,7
7377,,B,12,2
13108,,B,12,15
7375,,B,12,2
7470,,B,12,11
7827,,B,12,8
7476,,B,12,4
7479,,B,12,1
7480,,B,12,2
7499,,B,12,1
7537,,B,12,1
7542,,B,12,2
7557,,B,12,1
7573,,B,12,3
7572,,B,12,4
7595,,B,12,1
4771,,B,12,2
7607,,B,12,4
7614,,B,12,2
7637,,B,12,11
7500,,B,12,3
7643,,B,12,1
343,,B,12,4
6169,,B,12,2
7871,,B,12,1
7369,,B,12,1
7662,,B,12,2
7655,,B,12,1
7669,,B,12,4
7679,,B,12,1
7558,,B,12,1
7684,,A,14,2
7747,,B,12,6
7780,,B,12,2
7788,,B,12,1
7846,,B,12,1
7602,,B,12,3
7879,,B,12,2
1473,,B,12,2
7919,,B,12,6
7922,,B,12,3
7936,,A,14,2
7940,,B,12,1
7937,,B,12,2
7949,,B,12,7
7955,,B,12,8
7284,,B,12,1
7988,,B,12,1
